player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Matthew Stafford,4924,QB,LA,16,74.3,513,557,8.2,2.59,8,37,6.3,63,351,0,203,7.9,605,30,204,26,92.1,88.2,86,61.3,4,11,643,7,15.8,94.3,5.3,32,14,3,29,26,12,1.9,4332,7.8
C.J. Stroud,129759,QB,HST,17,74.2,512,553,9.3,2.93,9,26,4.4,64,354,0,219,6.8,618,26,215,13,52.1,83.1,80.2,73.4,3,5,653,4,17.4,101.7,6.1,38,25,6,23,26,18,2.8,4557,8.2
Derek Carr,8671,QB,NO,17,76.8,514,548,8.2,2.57,3,18,3.2,68.4,375,0,181,5.1,588,20,187,20,61.9,77.2,77,46.6,6,8,609,4,17.1,97.7,5.3,31,9,0,25,25,14,2.3,3878,7.1
Bryce Young,123943,QB,CAR,16,71.9,463,527,7.8,2.9,7,18,3.2,59.8,315,1,253,5.4,622,18,150,5,27.7,56,52.6,78.1,5,10,663,6,24.5,73.7,10,62,31,1,51,11,22,3.3,2877,5.5
Geno Smith,7820,QB,SEA,15,77.4,446,499,8.2,2.73,13,32,6,64.7,323,0,223,6.4,553,22,177,29,68.8,82.9,82.1,62.8,8,9,591,6,13.9,92.1,5.6,31,20,4,28,20,21,3.6,3624,7.3
Gardner Minshew,41401,QB,IND,16,74.2,446,490,7.8,2.67,14,14,2.7,62.2,305,0,190,7.9,546,26,153,14,42.5,62,60.6,59.6,4,9,580,4,17.9,84.6,6.2,34,21,0,26,15,22,3.8,3305,6.7
Brock Purdy,77672,QB,SF,17,77.4,447,483,8.4,2.7,9,29,5.7,68.5,331,0,210,4.3,541,15,211,28,66,86.7,81.6,90.9,4,11,568,5,13.8,110.9,5.4,29,19,4,19,32,19,3.3,4532,9.4
Lamar Jackson,46416,QB,BLT,17,77.8,446,479,9,3.18,9,25,4.9,67.4,323,2,214,6.9,587,24,202,3,46.4,90.9,85.5,90,7,7,628,10,18.7,103.6,6.8,40,67,1,16,26,16,2.5,3830,8
Justin Herbert,28237,QB,LAC,13,74.7,427,456,8.2,2.79,7,24,5,65.1,297,1,186,6.9,520,22,164,27,66.7,85.5,83.1,73.2,8,7,552,5,15.6,93.2,5.6,29,32,0,14,20,13,2.4,3134,6.9
Russell Wilson,7077,QB,DEN,15,78.8,400,447,7.8,3.07,11,27,5.6,66.4,297,0,218,5.7,530,18,150,10,28.9,77.5,72.5,80.3,5,8,568,2,20.6,98,8.5,45,36,4,27,26,17,3,3075,6.9
Joshua Dobbs,11890,QB,MIN,13,72.1,390,417,8,3.03,6,12,2.7,62.8,262,1,185,6.8,485,19,143,18,49.8,65.9,59.9,82.2,6,10,524,5,16.2,79.5,6.2,30,35,0,15,13,23,4.4,2464,5.9
Desmond Ridder,55086,QB,ATL,15,72.7,363,388,8.5,2.68,8,13,3.2,64.2,249,0,139,5.7,439,15,146,2,27.6,51.9,53.2,48.8,0,12,464,5,22.3,83.4,7.1,31,19,2,15,12,26,5.6,2836,7.3
Justin Fields,82118,QB,CHI,13,74.3,323,369,8.8,3.4,10,21,5.5,61.2,226,0,223,5.8,456,14,141,6,33.7,74.6,67.1,84.9,7,9,477,5,19.3,86.3,9.4,43,43,0,29,16,16,3.4,2562,6.9
Zach Wilson,82096,QB,NYJ,12,72.5,331,368,7.9,2.92,7,10,2.6,60.1,221,0,189,7.9,439,19,110,22,30.8,58.2,57.2,60.9,6,7,463,2,24.3,77.2,10.5,46,25,3,21,8,12,2.6,2271,6.2
Joe Burrow,28022,QB,CIN,10,76.8,340,365,6.9,2.47,6,17,4.4,66.8,244,0,123,6.5,403,17,122,7,87,77.9,76.8,68.8,6,6,422,5,19.5,91,6,24,14,1,12,15,9,2.1,2309,6.3
Mac Jones,60323,QB,NE,11,72.3,328,345,7.4,2.42,5,11,3.1,64.9,224,0,119,5.5,379,13,104,19,53.8,52.2,52.2,61.3,4,12,395,4,18.5,77,5.8,22,12,0,8,10,23,5.8,2120,6.1
Aidan O'Connell,60516,QB,LV,11,74,315,343,8,2.62,8,12,3.4,62.1,213,0,122,8.6,370,20,107,23,72.1,65.9,64.6,61.6,3,7,380,2,19.7,83.9,6.5,24,0,1,16,12,10,2.6,2218,6.5
Kenny Pickett,60515,QB,PIT,12,71.8,298,324,7.5,2.73,8,13,3.8,62,201,0,136,6.1,363,13,96,25,91.3,70.6,68.8,66.7,3,4,386,2,16.9,81.4,6.3,23,14,1,14,6,7,1.8,2070,6.4
Kirk Cousins,7102,QB,MIN,8,80.5,293,311,7.7,2.69,1,10,3,69.5,216,0,108,8.5,331,20,112,18,46.2,86.1,85.1,64.8,7,5,353,6,15.7,103.8,5.1,17,3,2,8,18,8,2.3,2331,7.5
Kyler Murray,38334,QB,ARZ,8,73.5,253,268,7.5,2.8,9,8,2.8,65.7,176,1,95,5.4,304,10,96,1,59.7,71,67.6,78.5,2,5,326,5,18.9,89.5,5.9,18,16,1,3,10,6,1.8,1800,6.7
Will Levis,83542,QB,TEN,9,69.1,236,255,11.1,2.76,6,16,5.9,58.4,149,0,130,8.6,292,14,85,31,68.9,63.7,61.6,67.4,6,4,310,1,21.5,84.2,9.6,28,9,2,5,8,14,4.5,1808,7.1
Joe Flacco,4332,QB,CLV,6,72.5,233,250,9.1,2.78,1,11,4.2,62.8,157,0,88,7.1,265,12,75,8,65.4,72.8,70.6,69.1,2,10,277,1,13.6,88.5,4.5,12,2,0,14,14,11,4,1923,7.7
Jake Browning,46401,QB,CIN,9,79.3,227,244,6.6,2.84,7,9,3.5,70.1,171,0,102,5,284,9,100,7,54.6,79.3,74.4,87.8,3,7,298,8,23.5,98,8.5,24,16,0,7,12,11,3.7,1936,7.9
Ryan Tannehill,7014,QB,TEN,9,76.1,213,230,8.4,2.67,5,10,4,64.8,149,0,106,8,271,13,77,31,70.5,68.7,66.3,69.7,4,7,291,1,30.2,78.5,11.8,32,9,2,6,4,11,3.8,1616,7
Bailey Zappe,60396,QB,NE,10,68.7,198,212,8.1,2.75,4,10,4.6,59.9,127,0,103,6.6,247,9,57,19,62.2,52.2,51.1,63.3,0,9,253,1,24.3,68.8,10.1,25,10,1,9,6,10,4,1272,6
Tyrod Taylor,6332,QB,NYG,10,76.7,163,180,9.1,2.83,1,17,8.9,64.4,116,0,87,7.2,224,9,57,21,44.1,71.4,73.4,54.5,0,3,242,0,19.5,89.1,7.6,17,26,6,10,5,3,1.2,1341,7.5
Tommy DeVito,60545,QB,NYG,9,78.3,161,178,6.6,3.09,4,4,2.2,64,114,0,99,9.5,237,12,48,21,77.3,62,64.4,50.9,1,3,243,3,37.4,89.2,15.6,37,22,0,12,8,5,2.1,1101,6.2
Easton Stick,29466,QB,LAC,5,70.9,165,174,7.5,2.76,2,5,2.7,63.8,111,0,62,5.1,198,6,58,27,29.2,66.8,61.8,79.9,2,1,208,1,22.6,85.7,7.1,14,9,1,4,3,7,3.4,1132,6.5
Deshaun Watson,11767,QB,CLV,6,73.1,156,170,9,3.12,2,6,3.3,61.8,105,0,76,7.9,204,9,58,8,38.5,67.3,66.8,63.4,3,4,218,3,21.1,84.8,7.8,16,18,1,8,7,5,2.3,1115,6.6
Jimmy Garoppolo,8697,QB,LV,7,74.2,159,169,8.8,2.84,5,2,1.1,65.1,110,0,58,6.8,191,8,63,23,74.1,65,65,58.8,1,9,203,1,24.1,77.7,7.3,14,8,1,3,7,6,3,1205,7.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0,31,7.4,98,4,33,14,23.6,52.2,56.5,45.3,2,1,107,1,22.6,87.3,7.1,7,7,0,3,3,4,3.7,577,6.9
,,,,,,,,,,,,,,,0,32,7.7,86,4,16,22,84.4,64.1,61.2,73.5,0,4,89,0,28.1,56.2,10.5,9,0,0,4,1,3,3.4,360,4.7
,,,,,,,,,,,,,,,0,31,11.1,85,6,20,29,52.5,61.3,62.2,56.4,0,3,91,3,19.4,81.2,7.1,6,3,0,1,3,5,5.5,543,7.1
,,,,,,,,,,,,,,,0,28,7,77,3,19,10,51.9,55.5,58.5,45,1,1,81,1,25,87.7,9.1,7,3,0,4,2,1,1.2,496,7.5
,,,,,,,,,,,,,,,0,27,10.5,63,4,18,5,82.5,81.1,79.1,64.2,3,0,67,0,11.1,88.4,4.8,3,1,0,1,2,1,1.5,361,6.2
,,,,,,,,,,,,,,,0,19,2.9,59,1,14,13,82.5,44.8,45.6,54,0,3,68,1,31.6,61.1,10.2,6,0,0,2,1,4,5.9,291,5.5
,,,,,,,,,,,,,,,0,20,4.8,63,2,21,15,45.5,71.5,74.6,46.9,0,0,68,0,30,98.7,9.5,6,4,0,3,1,2,2.9,349,6.6
,,,,,,,,,,,,,,,0,15,7.4,49,2,10,20,81.5,56.3,55.8,61.3,0,3,52,1,13.3,57.4,4.1,2,0,0,2,2,3,5.8,264,5.6
,,,,,,,,,,,,,,,0,25,6.7,55,2,16,28,22.9,66,66.5,57.8,1,1,59,1,24,85.1,10.9,6,3,1,1,2,2,3.4,297,6.5
,,,,,,,,,,,,,,,0,5,8,43,2,14,23,80.6,55.2,54.6,60.5,0,2,47,0,20,50.8,2.3,1,0,0,0,0,1,2.1,231,5.5
,,,,,,,,,,,,,,,0,17,17.4,43,4,12,13,80.5,48.3,46.3,68.2,0,0,45,0,11.8,77,4.7,2,1,0,1,2,4,8.9,179,4.5
,,,,,,,,,,,,,,,1,14,10,44,2,9,22,22.4,48.1,48,70.7,0,1,47,3,14.3,49.5,4.5,2,3,0,1,0,3,6.4,172,4.5
,,,,,,,,,,,,,,,0,18,12.5,48,3,14,3,81.5,63.8,64.7,57.6,0,0,48,0,22.2,99.3,8.3,4,7,0,2,3,1,2.1,203,5.5
,,,,,,,,,,,,,,,0,18,18.2,40,4,10,16,79.8,60.7,54.6,74.8,0,3,41,0,5.6,31.2,2.5,1,4,0,1,0,2,4.9,185,5.3
,,,,,,,,,,,,,,,0,11,13.3,32,2,11,8,78.7,66.4,58.9,83.4,0,2,32,1,27.3,63.9,9.4,3,3,0,1,2,3,9.4,166,6.4
,,,,,,,,,,,,,,,0,6,0,27,0,8,9,79.6,58,54.3,66.2,0,1,28,0,16.7,72.2,3.7,1,1,0,0,0,1,3.6,144,6
,,,,,,,,,,,,,,,0,9,15,30,3,12,26,80.8,80.7,80.2,68.1,0,1,35,0,22.2,99.8,6.7,2,4,0,1,2,0,0,163,6.8
,,,,,,,,,,,,,,,0,9,0,29,0,12,24,27.4,66.3,55.6,80.7,0,1,29,1,33.3,82.5,10.3,3,3,0,0,1,2,6.9,164,7.1
,,,,,,,,,,,,,,,0,8,5.3,25,1,10,32,77.4,84.6,79.4,75,0,0,29,0,0,146.8,0,0,2,0,1,3,0,0,224,9.7
,,,,,,,,,,,,,,,0,17,14.3,33,2,4,1,78.8,34.2,28,65.6,0,2,35,0,41.2,22.6,21.2,7,5,0,0,0,3,8.6,62,3
,,,,,,,,,,,,,,,0,13,0,27,0,7,18,77.2,60.3,64.4,49.7,0,1,27,0,30.8,70.4,14.8,4,3,0,1,0,0,0,168,8.4
,,,,,,,,,,,,,,,0,5,0,16,0,6,20,67.7,75.3,51.6,86.1,0,0,17,0,40,109.3,12.5,2,3,0,0,1,0,0,83,7.5
,,,,,,,,,,,,,,,0,0,0,6,0,1,17,73.9,52.5,46.2,60.3,0,1,6,0,,118.1,0,0,0,0,0,1,1,16.7,74,12.3
,,,,,,,,,,,,,,,0,4,20,6,1,0,7,69.6,59,58.4,,0,0,7,0,25,82.5,16.7,1,0,0,0,0,0,0,19,3.8
,,,,,,,,,,,,,,,0,6,0,12,0,2,31,74.5,45.9,48.4,52.2,0,0,15,0,66.7,118.8,33.3,4,3,0,0,0,0,0,74,14.8
,,,,,,,,,,,,,,,0,2,0,6,0,3,2,68.9,24.8,24.9,58.3,0,1,6,0,50,53.1,16.7,1,1,0,0,0,1,16.7,27,6.8
,,,,,,,,,,,,,,,0,2,0,4,0,2,23,82.1,69.9,80.8,70,0,0,4,6,0,113.9,0,0,1,0,1,1,0,0,12,4
,,,,,,,,,,,,,,,0,0,0,3,0,2,31,91.4,90.2,72.2,86.8,0,0,3,0,,116.7,0,0,0,0,0,2,0,0,14,4.7
,,,,,,,,,,,,,,,0,1,0,2,0,1,27,35.7,86.3,71.4,,0,0,2,1,0,135.4,0,0,0,0,1,1,0,0,49,24.5
,,,,,,,,,,,,,,,1,0,0,2,0,0,15,26.7,71.1,52.1,63.3,0,0,2,1,,56.3,0,0,0,0,0,0,0,0,-1,-0.5
,,,,,,,,,,,,,,,1,1,,1,0,0,18,48.1,91.1,49.2,57.2,0,0,1,1,0,39.6,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,1,0,1,15,60.4,70.3,66.9,,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,13,13
,,,,,,,,,,,,,,,0,2,,2,0,0,22,65.5,39.4,41.1,,0,0,3,0,50,39.6,50,1,0,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,1,0,1,11,66.7,71.2,70.7,59.8,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,31,31
,,,,,,,,,,,,,,,0,0,0,1,0,1,24,29.3,55.3,69.7,52.4,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,17,17
,,,,,,,,,,,,,,,0,0,0,1,0,0,32,72.9,59,60,56.2,0,0,1,1,,83.3,0,0,0,0,0,0,0,0,4,4
,,,,,,,,,,,,,,,2,0,,1,0,0,2,37.5,59.1,56.3,56.9,0,0,1,5,,39.6,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,1,0,,1,0,0,30,83.5,77.5,49.6,70.7,0,0,1,1,,39.6,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,,1,0,0,7,81.5,59.5,57.3,59.1,0,1,1,2,,0,0,0,0,0,0,0,1,100,0,0
,,,,,,,,,,,,,,,1,0,0,1,0,0,7,58.8,85.3,60,52.8,0,0,1,2,,79.2,0,0,0,0,0,0,0,0,-7,-7
,,,,,,,,,,,,,,,0,1,0,1,0,1,2,81.4,78.9,69.5,,0,0,1,1,0,118.8,0,0,0,0,0,0,0,0,22,22
,,,,,,,,,,,,,,,1,0,,1,0,0,22,32.1,72.9,53.5,62,0,0,1,5,,39.6,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,1,0,1,16,80.8,63,60.1,60.6,0,0,1,0,,122.9,0,0,0,0,0,1,0,0,4,4
,,,,,,,,,,,,,,,0,0,0,1,0,1,12,23,77.8,69.9,59.2,0,0,1,2,,118.8,0,0,0,0,0,0,0,0,14,14
,,,,,,,,,,,,,,,0,2,,2,0,0,31,82.1,81,59.6,64.5,0,0,2,4,0,39.6,0,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,1,0,0,5,60.4,61,60.3,60,0,0,1,0,,95.8,0,0,0,0,0,0,0,0,7,7
,,,,,,,,,,,,,,,0,1,,1,0,0,28,61.1,83.9,60,69.5,0,0,1,2,0,39.6,0,0,0,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,1,0,1,22,60.4,69.8,67.2,,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,18,18
,,,,,,,,,,,,,,,0,1,0,1,0,1,12,15.5,56.8,76,44.9,0,0,1,0,0,118.8,0,0,0,0,0,0,0,0,37,37
,,,,,,,,,,,,,,,1,0,,1,0,0,25,76.3,55.5,60,59.3,0,0,1,4,,39.6,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,1,0,1,24,60.4,73.1,68.8,,0,0,1,0,,118.8,0,0,0,0,0,0,0,0,28,28
,,,,,,,,,,,,,,,0,1,0,1,0,1,13,85,75.1,69.5,78.1,0,0,1,0,0,131.3,0,0,0,0,0,1,0,0,6,6
,,,,,,,,,,,,,,,0,0,,1,0,0,30,64.5,86,82.7,60,0,0,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,0,0,0,1,0,1,16,60.4,74.7,68.8,,0,0,1,0,,112.5,0,0,0,0,0,0,0,0,11,11
,,,,,,,,,,,,,,,0,1,,1,0,0,16,38.3,62.5,55.1,62.3,0,0,1,1,0,39.6,0,0,0,0,0,0,0,0,0,0
