player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
C.J. Stroud,129759,QB,HST,15,73.9,464,499,9.4,2.93,7,23,4.3,63.9,319,0,194,7,562,24,197,13,47.4,82.8,79.4,76.3,3,5,593,2,19.6,100.8,6.8,38,23,6,19,23,17,2.9,4108,8.2
Lamar Jackson,46416,QB,BLT,16,77.6,425,457,9.1,3.17,9,24,4.9,67.2,307,2,203,7,558,23,189,3,43.6,90.4,85.1,86.8,7,7,599,10,18.2,102.7,6.6,37,63,1,15,24,15,2.5,3678,8
Aidan O'Connell,60516,QB,LV,11,74.0,315,343,8,2.62,8,12,3.4,62.1,213,0,122,8.6,370,20,107,23,72.1,65.9,64.6,61.6,3,7,380,2,19.7,83.9,6.5,24,0,1,16,12,10,2.6,2218,6.5
Baker Mayfield,46518,QB,TB,17,73.7,524,566,9,2.76,16,25,4.1,64.3,364,1,219,5.7,639,22,199,30,73.9,74.6,72.8,66.0,10,10,684,3,18.3,94.6,6.3,40,29,0,16,28,24,3.5,4045,7.1
Kenny Pickett,60515,QB,PIT,12,71.8,298,324,7.5,2.73,8,13,3.8,62,201,0,136,6.1,363,13,96,25,91.3,70.6,68.8,66.7,3,4,386,2,16.9,81.4,6.3,23,14,1,14,6,7,1.8,2070,6.4
Gardner Minshew,41401,QB,IND,16,74.2,446,490,7.8,2.67,14,14,2.7,62.2,305,0,190,7.9,546,26,153,14,42.5,62.0,60.6,59.6,4,9,580,4,17.9,84.6,6.2,34,21,0,26,15,22,3.8,3305,6.7
Joshua Dobbs,11890,QB,MIN,13,72.1,390,417,8,3.03,6,12,2.7,62.8,262,1,185,6.8,485,19,143,18,49.8,65.9,59.9,82.2,6,10,524,5,16.2,79.5,6.2,30,35,0,15,13,23,4.4,2464,5.9
Joe Burrow,28022,QB,CIN,10,76.8,340,365,6.9,2.47,6,17,4.4,66.8,244,0,123,6.5,403,17,122,7,87,77.9,76.8,68.8,6,6,422,5,19.5,91,6.0,24,14,1,12,15,9,2.1,2309,6.3
Kyler Murray,38334,QB,ARZ,8,73.5,253,268,7.5,2.8,9,8,2.8,65.7,176,1,95,5.4,304,10,96,1,59.7,70.8,67.6,77.8,2,5,326,5,18.9,89.5,5.9,18,16,1,3,10,6,1.8,1800,6.7
Jalen Hurts,40291,QB,PHI,17,75.5,489,538,8.9,3.13,8,28,5,65.4,352,0,248,4.6,622,17,202,24,64.3,86.4,83.6,76.5,6,15,649,6,14.5,89.1,5.8,36,46,0,35,23,15,2.3,3858,7.2
Mac Jones,60323,QB,NE,11,72.3,328,345,7.4,2.42,5,11,3.1,64.9,224,0,119,5.5,379,13,104,19,53.8,52.2,52.2,61.3,4,12,395,4,18.5,77,5.8,22,12,0,8,10,23,5.8,2120,6.1
Dak Prescott,10769,QB,DAL,17,77.6,567,591,8.4,2.69,10,38,6,69.5,411,0,212,6.6,661,29,234,9,81.8,90.8,89.8,75.8,6,9,710,5,17.9,105.9,5.7,38,28,0,8,36,14,2.0,4519,7.6
Geno Smith,7820,QB,SEA,15,77.4,446,499,8.2,2.73,13,32,6,64.7,323,0,223,6.4,553,22,177,29,68.8,82.9,82.1,62.8,8,9,591,6,13.9,92.1,5.6,31,20,4,28,20,21,3.6,3624,7.3
Brock Purdy,77672,QB,SF,16,78.3,411,444,8.6,2.71,9,27,5.8,69.4,308,0,192,4.3,498,14,199,28,62.9,88.4,83.6,90.6,3,11,525,5,14.6,113,5.6,28,17,3,18,31,18,3.4,4280,9.6
Justin Herbert,28237,QB,LAC,13,74.7,427,456,8.2,2.79,7,24,5,65.1,297,1,186,6.9,520,22,164,27,66.7,85.5,83.2,73.2,8,7,552,5,15.6,93.2,5.6,29,32,0,14,20,13,2.4,3134,6.9
Trevor Lawrence,77632,QB,JAX,16,74.7,530,564,8.6,2.54,14,35,5.8,65.6,370,0,190,6.6,645,26,194,15,36.5,79.7,78.6,69.9,7,14,681,8,18.4,88.5,5.4,35,41,0,13,21,26,3.8,4017,7.1
Matthew Stafford,4924,QB,LA,15,74.0,480,521,8.2,2.59,7,33,6,62.6,326,0,190,8.2,567,29,189,26,92,85.9,83.8,61.3,4,11,602,7,15.8,92.5,5.3,30,14,3,27,24,12,2.0,3965,7.6
Derek Carr,8671,QB,NO,17,76.8,514,548,8.2,2.57,3,18,3.2,68.4,375,0,181,5.1,588,20,187,20,61.9,77.2,77.0,46.6,6,8,609,4,17.1,97.7,5.3,31,9,0,25,25,14,2.3,3878,7.1
Kirk Cousins,7102,QB,MIN,8,80.5,293,311,7.7,2.69,1,10,3,69.5,216,0,108,8.5,331,20,112,18,46.2,86.1,85.1,64.8,7,5,353,6,15.7,103.8,5.1,17,3,2,8,18,8,2.3,2331,7.5
Tua Tagovailoa,60326,QB,MIA,17,77.0,531,561,8.2,2.32,9,35,6,69.3,389,0,150,4.9,609,20,227,17,53.5,88.4,90.2,28.5,3,14,636,5,19.3,101.5,4.8,29,16,2,16,29,22,3.5,4679,8.3
Jared Goff,10635,QB,DET,17,78.3,557,605,7.3,2.57,9,20,3.1,67.3,407,0,227,6.7,642,29,228,11,61.2,84.4,84.3,49.1,7,12,673,10,13.2,97.9,4.7,30,7,4,28,30,17,2.5,4574,7.6
Jordan Love,40306,QB,GB,17,73.1,543,579,9,2.72,8,34,5.6,64.2,372,0,191,6.3,633,25,216,12,53.5,83.0,82.7,59.7,7,11,663,11,15.2,96.1,4.6,29,22,2,19,32,17,2.6,4158,7.2
Patrick Mahomes,11765,QB,KC,16,78.3,549,597,6.8,3.03,4,25,4,67.2,401,1,241,6.7,677,29,232,16,74.9,85.1,81.1,79.9,13,14,718,5,11.2,92.6,4.0,27,51,2,29,27,21,2.9,4183,7
Joe Flacco,4332,QB,CLV,5,70.4,189,204,9.5,2.78,1,10,4.7,60.3,123,0,67,7.5,213,10,60,8,59,74.2,72.3,65.4,2,8,224,1,11.9,90.2,3.8,8,0,0,12,13,8,3.6,1616,7.9
Josh Allen,46601,QB,BUF,17,76.6,539,579,8.9,2.9,4,37,6,66.5,385,0,232,6.8,653,28,224,4,61.2,91.3,86.7,90.7,4,18,695,8,10.3,92.2,3.7,24,50,2,30,29,21,3.0,4307,7.4
